states,actions,branching_factor,dynamics_structure,reward_structure,modality,algorithm,runs,seeds_at_floor,final_exploitability_median,runtime_mean_s,runtime_std_s,final_exploitability_mean,final_exploitability_std
10,6,6,additive,multiplicative,A/M,DampedFP:damped,5,3,0.0,2.134247448667884,0.13941441823898942,0.043618392944335935,0.0910599530588837
10,6,6,additive,multiplicative,A/M,DampedFP:fictitious_play,5,3,0.0,83.93745609009639,1.7574509959502198,0.007297325134277344,0.013672750255548483
10,6,6,additive,multiplicative,A/M,DampedFP:pure,5,3,9.5367431640625e-07,2.055625209119171,0.16031928799737624,0.006067466735839844,0.012540868287653512
10,6,6,additive,multiplicative,A/M,OMD,5,0,1.025115966796875,2.352014393825084,0.23592946705085543,0.9508778333663941,0.39923249095598434
10,6,6,additive,multiplicative,A/M,PI:boltzmann_policy_iteration,5,0,0.6037654876708984,2.1714800817891957,0.10974861737520503,0.6181122303009033,0.2731464852610102
10,6,6,additive,multiplicative,A/M,PI:policy_iteration,5,3,0.0,1.8354390459135175,0.07305613231644616,0.07563867568969726,0.16199910268820816
10,6,6,additive,multiplicative,A/M,PI:smooth_policy_iteration,5,3,0.0,2.191218247730285,0.0950492128140611,0.009259700775146484,0.019620391581834776
10,6,6,additive,multiplicative,A/M,PSO,5,0,0.45981407165527344,5.583687108010054,0.13505501678038495,0.41582599878311155,0.3379578162255415
10,6,6,multiplicative,additive,M/A,DampedFP:damped,5,3,0.0,2.120744765084237,0.09537769855989005,0.012954330444335938,0.017838230740612464
10,6,6,multiplicative,additive,M/A,DampedFP:fictitious_play,5,1,0.0024924278259277344,84.1144949376583,0.5900244317333356,0.010414218902587891,0.019408354267451813
10,6,6,multiplicative,additive,M/A,DampedFP:pure,5,3,9.5367431640625e-07,2.0509204247035084,0.1136020319246129,0.027193641662597655,0.04420091802260421
10,6,6,multiplicative,additive,M/A,OMD,5,0,1.040628433227539,2.4088884592056274,0.19049651206143614,0.9268068253993988,0.3413144240415142
10,6,6,multiplicative,additive,M/A,PI:boltzmann_policy_iteration,5,0,0.5420093536376953,2.275340365152806,0.18230800227521637,0.6136294364929199,0.293165482593019
10,6,6,multiplicative,additive,M/A,PI:policy_iteration,5,3,0.0,1.8705859302543104,0.12749069506339386,0.013877487182617188,0.01900454321271968
10,6,6,multiplicative,additive,M/A,PI:smooth_policy_iteration,5,3,9.5367431640625e-07,2.288211125601083,0.14907086066524347,0.019035148620605468,0.027287608739554662
10,6,6,multiplicative,additive,M/A,PSO,5,0,0.05153465270996094,5.756179318204522,0.2744124850642454,0.28850876092910765,0.3729719387011029
20,6,6,additive,multiplicative,A/M,DampedFP:damped,5,5,0.0,2.564040639158338,0.11339561405584703,2.0265579223632812e-07,4.2062470351165176e-07
20,6,6,additive,multiplicative,A/M,DampedFP:fictitious_play,5,2,0.0015714168548583984,87.5898245868273,3.104106262169594,0.003741025924682617,0.005151190365812328
20,6,6,additive,multiplicative,A/M,DampedFP:pure,5,3,2.384185791015625e-07,2.3061797792091965,0.11617457579267622,0.0009065985679626465,0.0015630202567240258
20,6,6,additive,multiplicative,A/M,OMD,5,0,0.7963981628417969,2.7750896602869033,0.2649924610378852,0.8187136054039001,0.25905354595011726
20,6,6,additive,multiplicative,A/M,PI:boltzmann_policy_iteration,5,0,0.47230786085128784,2.5470774874091147,0.22012345334861652,0.5570515036582947,0.24110468717976039
20,6,6,additive,multiplicative,A/M,PI:policy_iteration,5,2,0.00024580955505371094,2.1676237912848593,0.2507099763206467,0.005764520168304444,0.012545064337955103
20,6,6,additive,multiplicative,A/M,PI:smooth_policy_iteration,5,4,0.0,2.586953032389283,0.19949129935012025,0.0006045818328857422,0.0013525525329548779
20,6,6,additive,multiplicative,A/M,PSO,5,0,1.022242546081543,6.469000087864697,0.21226284629635184,1.0849168300628662,0.9205792991709224
20,6,6,multiplicative,additive,M/A,DampedFP:damped,5,3,7.152557373046875e-07,2.491016895044595,0.1817837289582454,9.298324584960937e-07,9.325793845943425e-07
20,6,6,multiplicative,additive,M/A,DampedFP:fictitious_play,5,1,1.9073486328125e-06,84.12860203580931,1.6968834007958065,0.00041954517364501954,0.000736933005344641
20,6,6,multiplicative,additive,M/A,DampedFP:pure,5,3,9.5367431640625e-07,2.4415037305094303,0.2047665912750089,1.2874603271484376e-06,1.1131875543526414e-06
20,6,6,multiplicative,additive,M/A,OMD,5,0,0.6754665374755859,2.7702839381061493,0.1789101645991929,0.8124602794647217,0.33599341884307604
20,6,6,multiplicative,additive,M/A,PI:boltzmann_policy_iteration,5,0,0.41307640075683594,2.637909081298858,0.07016108089145184,0.5299243330955505,0.3458921221351337
20,6,6,multiplicative,additive,M/A,PI:policy_iteration,5,1,1.9073486328125e-06,2.261313456017524,0.1325363847194811,1.8715858459472655e-06,1.332533788188686e-06
20,6,6,multiplicative,additive,M/A,PI:smooth_policy_iteration,5,2,1.9073486328125e-06,2.6120087442919613,0.1622563740323364,1.9192695617675783e-06,1.4626838952328906e-06
20,6,6,multiplicative,additive,M/A,PSO,5,0,0.22794342041015625,6.818505342211575,0.29620779912879774,0.3189812541007996,0.3076405102513723
